adt and test case,time,natoms,quality
Str: substr $ \bowtie $ hasChar,0.818707,7,simple complete
Str: substr $ \bowtie $ isEmpty,0.374207,3,simple complete
Str: hasChar $ \bowtie $ concat,1.134798,19,complex complete
Str2: set $ \bowtie $ concat,30.055996,61,complex incomplete
Str3: read $ \bowtie $ write,4.970905,98,complex complete
LIA: sum $ \bowtie $ posSum,8.491506,321,complex complete
LIA: sum $ \bowtie $ multiVarSum,9.946524,547,complex incomplete
LIA: multiVarA $ \bowtie $ multiVarB,6.889984,170,complex complete
DiH: motion $ \bowtie $ motion,-1.0,-1,N/A
