adt and test case,time,time_synth,time_lattice_construct,natoms,quality
Str: substr $ \bowtie $ hasChar,0.955114,0.921117,0.0,15,complex complete
Str: substr $ \bowtie $ isEmpty,0.288907,0.265644,0.0,3,simple complete
Str: hasChar $ \bowtie $ concat,1.053299,1.030915,0.0,28,complex complete
Str2: set $ \bowtie $ concat,30.033722,30.000439,0.0,0,simple incomplete
Str3: read $ \bowtie $ write,4.017247,3.994433,0.0,114,complex complete
LIA: sum $ \bowtie $ posSum,6.981694,6.958085,0.0,304,complex complete
LIA: sum $ \bowtie $ multiVarSum,12.566125,12.543543,0.0,652,complex incomplete
LIA: multiVarA $ \bowtie $ multiVarB,9.133742,9.073504,0.0,215,complex complete
DiH: motion $ \bowtie $ motion,-1.0,-1,N/A
