adt and test case,time,natoms,quality
Str: substr $ \bowtie $ hasChar,0.65296,3,simple complete
Str: substr $ \bowtie $ isEmpty,0.419763,3,simple complete
Str: hasChar $ \bowtie $ concat,0.835292,3,simple complete
Str2: set $ \bowtie $ concat,27.034314,42,complex incomplete
Str3: read $ \bowtie $ write,30.033438,0,simple incomplete
LIA: sum $ \bowtie $ posSum,6.158436,46,complex complete
LIA: sum $ \bowtie $ multiVarSum,20.273567,628,complex incomplete
LIA: multiVarA $ \bowtie $ multiVarB,7.657859,162,complex complete
DiH: motion $ \bowtie $ motion,-1.0,-1,N/A
